Gene,NSC_GFP,Neu_GFP
Bahcc1,Euchromatin,Euchromatin
Baiap2,Euchromatin,Euchromatin
Bambi,Unknown,Unknown
Banf1,Euchromatin,Euchromatin
Banp,Euchromatin,Euchromatin
Basp1,Unknown,Unknown
Baz1b,Unknown,Unknown
Bbip1,Unknown,Unknown
Bbln,Unknown,Unknown
Bbs10,Unknown,Heterochromatin
Bbs2,Unknown,Unknown
Bbs5,Unknown,Euchromatin
Bbs7,Unknown,Unknown
Bcan,Euchromatin,Unknown
Bcar3,Unknown,Unknown
Bcas2,Unknown,Unknown
Bcat1,Euchromatin,Unknown
Bcdin3d,Euchromatin,Unknown
Bcl10,Euchromatin,Unknown
Bcl11a,Unknown,Unknown
Bcl2l1,Euchromatin,Unknown
Bcl2l13,Euchromatin,Unknown
Bcl7c,Euchromatin,Unknown
Bcl9l,Euchromatin,Euchromatin
Bclaf1,Unknown,Unknown
Bcor,Unknown,Unknown
Bcorl1,Euchromatin,Unknown
Bcs1l,Euchromatin,Unknown
Bdnf,Unknown,Heterochromatin
Bdp1,Unknown,Unknown
Becn1,Euchromatin,Euchromatin
Begain,Euchromatin,Unknown
Bend3,Euchromatin,Euchromatin
Bet1l,Euchromatin,Euchromatin
Bfar,Unknown,Unknown
Bhlhb9,Unknown,Unknown
Bicd2,Euchromatin,Unknown
Bicdl1,Euchromatin,Unknown
Bicdl2,Euchromatin,Euchromatin
Birc2,Unknown,Unknown
Birc6,Unknown,Unknown
Blm,Unknown,Unknown
Bloc1s1,Euchromatin,Euchromatin
Bltp1,Unknown,Unknown
Bltp3a,Unknown,Unknown
Blvrb,Euchromatin,Euchromatin
Bmal1,Unknown,Unknown
Bmp3,Unknown,Unknown
Bmp6,Unknown,Unknown
Bms1,Unknown,Unknown
Bmt2,Heterochromatin,Heterochromatin
Bnc2,Unknown,Unknown
Bnip3l,Unknown,Unknown
Boc,Unknown,Unknown
Bod1l,Unknown,Unknown
Bola1,Unknown,Unknown
Bola2,Euchromatin,Unknown
Borcs5,Euchromatin,Unknown
Borcs6,Euchromatin,Euchromatin
Braf,Unknown,Unknown
Brat1,Euchromatin,Euchromatin
Brca1,Unknown,Unknown
Brd2,Euchromatin,Euchromatin
Brd9,Unknown,Unknown
Brf1,Euchromatin,Euchromatin
Brf2,Euchromatin,Euchromatin
Brk1,Euchromatin,Euchromatin
Brms1,Euchromatin,Euchromatin
Brpf1,Euchromatin,Euchromatin
Brwd3,Unknown,Unknown
Bsdc1,Euchromatin,Euchromatin
Bsg,Euchromatin,Euchromatin
Bsn,Euchromatin,Euchromatin
Btbd10,Unknown,Heterochromatin
Btbd2,Euchromatin,Euchromatin
Btbd7,Unknown,Unknown
Btbd8,Unknown,Unknown
Btbd9,Unknown,Unknown
Btg1,Unknown,Unknown
Btrc,Unknown,Unknown
Bub3,Unknown,Unknown
Bves,Unknown,Unknown
C030006K11Rik,Euchromatin,Euchromatin
C030034I22Rik,Unknown,Unknown
C130021I20Rik,Euchromatin,Unknown
C130046K22Rik,Euchromatin,Unknown
C1qbp,Unknown,Unknown
C1ql1,Euchromatin,Euchromatin
C1ql2,Euchromatin,Euchromatin
C2cd2l,Euchromatin,Euchromatin
C2cd5,Unknown,Unknown
C530005A16Rik,Unknown,Unknown
C87436,Unknown,Unknown
C920006O11Rik,Unknown,Unknown
C9orf72,Unknown,Unknown
Cabin1,Euchromatin,Unknown
Cables2,Euchromatin,Euchromatin
Cabyr,Euchromatin,Unknown
Cacna1b,Unknown,Unknown
Cacna1c,Unknown,Heterochromatin
Cacna2d3,Unknown,Unknown
Cacnb1,Euchromatin,Euchromatin
Cacng2,Euchromatin,Unknown
Cactin,Euchromatin,Euchromatin
Cacybp,Unknown,Unknown
Cad,Euchromatin,Euchromatin
Cadm1,Unknown,Unknown
Cage1,Unknown,Unknown
Calm2,Unknown,Unknown
Calm3,Euchromatin,Euchromatin
Calr,Euchromatin,Euchromatin
Calu,Unknown,Euchromatin
Camk1d,Unknown,Unknown
Camk2n1,Euchromatin,Euchromatin
Camk4,Unknown,Unknown
Camkk2,Euchromatin,Euchromatin
Caml,Euchromatin,Euchromatin
Camta1,Unknown,Unknown
Cand1,Unknown,Unknown
Cant1,Euchromatin,Euchromatin
Cap1,Unknown,Unknown
Capn10,Euchromatin,Euchromatin
Capn15,Euchromatin,Euchromatin
Capn2,Euchromatin,Unknown
Capn7,Euchromatin,Unknown
Caprin1,Unknown,Unknown
Car13,Unknown,Unknown
Car15,Euchromatin,Unknown
Card10,Euchromatin,Euchromatin
Carm1,Euchromatin,Euchromatin
Carmil2,Unknown,Unknown
Carns1,Euchromatin,Euchromatin
Casd1,Unknown,Heterochromatin
Caskin1,Euchromatin,Unknown
Caskin2,Euchromatin,Unknown
Casp2,Unknown,Unknown
Casp8ap2,Unknown,Unknown
Casp9,Euchromatin,Euchromatin
Casz1,Euchromatin,Euchromatin
Cavin3,Unknown,Unknown
Cbarp,Euchromatin,Euchromatin
Cbfa2t3,Euchromatin,Euchromatin
Cbl,Unknown,Unknown
Cblb,Unknown,Heterochromatin
Cbln2,Unknown,Unknown
Cbln4,Euchromatin,Unknown
Cbr1,Unknown,Unknown
Cbx3,Unknown,Unknown
Cbx5,Unknown,Unknown
Cbx8,Euchromatin,Unknown
Cby1,Euchromatin,Euchromatin
Cc2d1a,Euchromatin,Euchromatin
Ccar1,Unknown,Unknown
Ccar2,Euchromatin,Euchromatin
Ccdc106,Euchromatin,Euchromatin
Ccdc117,Euchromatin,Unknown
Ccdc12,Euchromatin,Euchromatin
Ccdc124,Euchromatin,Euchromatin
Ccdc126,Unknown,Unknown
Ccdc14,Unknown,Unknown
Ccdc149,Unknown,Unknown
Ccdc15,Heterochromatin,Heterochromatin
Ccdc150,Unknown,Unknown
Ccdc158,Unknown,Unknown
Ccdc160,Unknown,Unknown
Ccdc167,Euchromatin,Unknown
Ccdc174,Unknown,Unknown
Ccdc177,Euchromatin,Unknown
Ccdc184,Unknown,Unknown
Ccdc186,Unknown,Unknown
Ccdc25,Unknown,Unknown
Ccdc30,Unknown,Unknown
Ccdc47,Unknown,Unknown
Ccdc50,Unknown,Unknown
Ccdc57,Euchromatin,Euchromatin
Ccdc62,Unknown,Unknown
Ccdc85b,Euchromatin,Euchromatin
Ccdc9,Euchromatin,Euchromatin
Ccdc91,Unknown,Unknown
Ccdc92,Euchromatin,Unknown
Ccna2,Unknown,Unknown
Ccnc,Unknown,Unknown
Ccnd1,Euchromatin,Euchromatin
Ccnd2,Unknown,Unknown
Ccnd3,Euchromatin,Euchromatin
Ccnf,Unknown,Unknown
Ccng1,Unknown,Unknown
Ccng2,Unknown,Unknown
Ccni,Unknown,Unknown
Ccnk,Unknown,Unknown
Ccnl1,Unknown,Unknown
Ccnl2,Euchromatin,Unknown
Ccno,Euchromatin,Unknown
Ccny,Euchromatin,Euchromatin
Ccnyl1,Unknown,Unknown
Ccser2,Unknown,Unknown
Cct2,Unknown,Unknown
Cct3,Euchromatin,Euchromatin
Cct5,Unknown,Unknown
Cct7,Euchromatin,Euchromatin
Cct8,Unknown,Unknown
Ccz1,Euchromatin,Euchromatin
Cd164,Unknown,Unknown
Cd24a,Unknown,Euchromatin
Cd2bp2,Euchromatin,Euchromatin
Cd47,Unknown,Unknown
Cd63,Euchromatin,Euchromatin
Cd83,Unknown,Unknown
Cd9,Euchromatin,Unknown
Cdadc1,Unknown,Unknown
Cdc14b,Unknown,Unknown
Cdc20,Euchromatin,Unknown
Cdc23,Euchromatin,Unknown
Cdc25a,Euchromatin,Euchromatin
Cdc34,Euchromatin,Euchromatin
Cdc37,Euchromatin,Euchromatin
Cdc42bpg,Euchromatin,Euchromatin
Cdc42ep4,Euchromatin,Euchromatin
Cdca3,Euchromatin,Euchromatin
Cdca4,Euchromatin,Euchromatin
Cdca5,Euchromatin,Euchromatin
Cdh3,Euchromatin,Unknown
Cdh4,Euchromatin,Unknown
Cdin1,Unknown,Unknown
Cdip1,Unknown,Unknown
Cdiptos,Euchromatin,Euchromatin
Cdk10,Euchromatin,Euchromatin
Cdk13,Unknown,Unknown
Cdk20,Unknown,Unknown
Cdk2ap2,Euchromatin,Euchromatin
Cdk4,Euchromatin,Euchromatin
Cdk5,Euchromatin,Unknown
Cdk5r2,Euchromatin,Unknown
Cdk5rap1,Euchromatin,Unknown
Cdk8,Unknown,Euchromatin
Cdkl2,Unknown,Unknown
Cdkl4,Unknown,Unknown
Cdkl5,Unknown,Unknown
Cdkn1b,Unknown,Unknown
Cdkn2aipnl,Euchromatin,Unknown
Cdkn2b,Unknown,Unknown
Cdkn2d,Euchromatin,Euchromatin
Cdnf,Unknown,Unknown
Cdo1,Unknown,Unknown
Cdon,Unknown,Unknown
Cdpf1,Euchromatin,Unknown
Cdr2,Unknown,Unknown
Cdt1,Euchromatin,Euchromatin
Cdv3,Euchromatin,Unknown
Cdyl2,Unknown,Unknown
Cebpb,Euchromatin,Euchromatin
Cebpg,Unknown,Unknown
Cebpz,Unknown,Unknown
Cebpzos,Unknown,Unknown
Celf4,Unknown,Unknown
Celsr1,Euchromatin,Euchromatin
Celsr2,Euchromatin,Unknown
Celsr3,Euchromatin,Euchromatin
Cenpf,Unknown,Unknown
Cenpj,Unknown,Unknown
Cenpp,Unknown,Unknown
Cenpt,Euchromatin,Unknown
Cenpu,Unknown,Unknown
Cep112,Unknown,Unknown
Cep120,Unknown,Unknown
Cep131,Euchromatin,Euchromatin
Cep170,Unknown,Unknown
Cep170b,Euchromatin,Euchromatin
Cep192,Unknown,Unknown
Cep250,Euchromatin,Unknown
Cep290,Heterochromatin,Heterochromatin
Cep295,Unknown,Unknown
Cep350,Unknown,Unknown
Cep41,Unknown,Unknown
Cep43,Unknown,Unknown
Cep55,Unknown,Unknown
Cep63,Unknown,Unknown
Cep68,Unknown,Unknown
Cep85,Unknown,Unknown
Cercam,Euchromatin,Euchromatin
Cers4,Unknown,Unknown
Cers5,Euchromatin,Euchromatin
Cert1,Unknown,Unknown
Cetn2,Unknown,Unknown
Cetn3,Heterochromatin,Heterochromatin
Cfap20,Euchromatin,Unknown
Cfap299,Unknown,Unknown
Cfap36,Heterochromatin,Heterochromatin
Cfap418,Unknown,Unknown
Cfap43,Euchromatin,Unknown
Cfap57,Unknown,Unknown
Cfap74,Euchromatin,Unknown
Cfap97,Unknown,Unknown
Cfap99,Euchromatin,Unknown
Cfdp1,Euchromatin,Euchromatin
Cfl1,Euchromatin,Euchromatin
Cggbp1,Unknown,Unknown
Chaf1a,Euchromatin,Euchromatin
Chaf1b,Unknown,Unknown
Chaserr,Unknown,Unknown
Chchd2,Euchromatin,Euchromatin
Chchd5,Unknown,Unknown
Chchd6,Unknown,Unknown
Chd2,Unknown,Unknown
Chd6,Unknown,Unknown
